A,B,,,A,B,
10.00437078,23.61961797,,Mean,27.67420866,29.02605056,
12.81210895,26.88510905,,Welch p value,,,0.256992711
12.49387553,12.40000507,,,,,
13.76956151,53.80090829,,Hypothesis,algorithm A is significantly better than algorithm B (i.e. returns a lower value on average).,,
15.88597866,13.00976907,,Null Hypothesis,algorithm A is no better than algorithm B,,
33.04535183,32.45121892,,,,,
47.76918551,20.67798749,,,"p value is greater than the significance level of 0.05, we can't reject the null hypothesis",,
14.06400082,40.16458043,,,,,
36.24163302,43.04906326,,,,,
51.73518519,36.33000219,,,,,
13.25216506,21.17140165,,,,,
33.50064408,41.56670835,,,,,
15.32059717,16.21386256,,,,,
23.81985361,43.04361994,,,,,
11.19647852,18.1456903,,,,,
25.94294559,51.9800469,,,,,
19.13071844,32.69672762,,,,,
27.43620767,51.73599782,,,,,
6.830897701,24.65560924,,,,,
32.91162124,30.11583672,,,,,
26.02767644,44.12936771,,,,,
27.9674691,21.84594737,,,,,
11.85392966,30.5746903,,,,,
7.099509887,32.04820687,,,,,
11.95526726,44.28420785,,,,,
25.51344761,39.03609272,,,,,
30.67434888,15.48074758,,,,,
20.71035358,31.92303652,,,,,
16.9430705,35.68760174,,,,,
8.43110517,38.73393055,,,,,
17.32401544,39.10014225,,,,,
44.95432102,16.1900872,,,,,
17.58908689,46.33465203,,,,,
29.00684193,8.82088758,,,,,
37.60121898,7.665559998,,,,,
45.70112956,37.73156618,,,,,
48.8484592,13.81215148,,,,,
48.67870019,24.57115541,,,,,
20.18565222,13.0696049,,,,,
3.463353846,44.79163168,,,,,
24.43129334,15.02167378,,,,,
7.087268745,33.71376352,,,,,
3.074757919,11.92177463,,,,,
48.22971372,35.64294644,,,,,
23.72338977,24.57779475,,,,,
39.63600515,8.923246647,,,,,
21.49763748,52.06791736,,,,,
11.49292026,52.17315388,,,,,
31.79151783,24.90212744,,,,,
20.60970472,39.45447939,,,,,
20.71130142,4.70209031,,,,,
9.321271922,29.66599837,,,,,
44.40212009,50.5197086,,,,,
39.7792052,14.81338728,,,,,
19.78040295,49.01269531,,,,,
20.07452966,19.7507671,,,,,
51.09061705,9.274529807,,,,,
32.93215246,6.343195241,,,,,
26.92068039,11.51105117,,,,,
45.16896543,5.948474206,,,,,
41.54779285,20.22871917,,,,,
38.61577051,48.17369278,,,,,
19.35162457,6.495051039,,,,,
31.42750958,53.83587905,,,,,
23.30297518,23.5027189,,,,,
44.43230163,10.61758801,,,,,
51.90603733,7.097835551,,,,,
29.54250007,29.06680554,,,,,
45.71614114,40.49209439,,,,,
32.68476366,19.32539522,,,,,
24.31560568,45.14011171,,,,,
47.73328844,31.90974152,,,,,
51.24861374,40.35640589,,,,,
27.36881461,26.65782922,,,,,
48.13973364,8.926319899,,,,,
39.9735866,41.42174907,,,,,
35.16187432,7.256983139,,,,,
37.86338483,30.39862106,,,,,
27.14885631,13.52961846,,,,,
14.71515286,49.97743318,,,,,
4.097494538,27.65399803,,,,,
51.77399821,49.3902185,,,,,
8.281254031,17.70865467,,,,,
38.06765684,38.51307141,,,,,
5.71934218,14.22944726,,,,,
15.17558524,10.07613295,,,,,
10.03399706,23.62982162,,,,,
7.405921395,49.84085225,,,,,
47.34795025,16.43515245,,,,,
45.33334945,28.35364548,,,,,
38.01173464,49.8723226,,,,,
33.05787949,49.60971135,,,,,
43.29592973,51.64284497,,,,,
27.70529358,36.2067047,,,,,
52.81637739,42.05744406,,,,,
22.82754871,43.16370562,,,,,
5.673991054,15.44795781,,,,,
44.98966835,46.65796448,,,,,
27.64836402,13.65342896,,,,,
26.51340857,4.565577795,,,,,
